Filename,Species,Plant,Obs,Photo,Ci,CO2R,Cond,VPD
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,1,34.177806477577114,312.3164202050731,400.0786437988282,1.1057302681712788,2.8685095878974973
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,2,33.7303710808554,314.9338110771858,399.85980224609375,1.146144174715146,2.88112701522476
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,3,44.605955802135725,1412.2975768666356,1549.8551025390625,1.1860587623419427,2.890861620088457
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,4,43.46454841900217,1416.7119592362712,1550.0972900390625,1.2184812878447433,2.8993838893598296
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,5,44.51613075896368,1121.3397882131974,1249.939697265625,1.2027876465587266,2.899726836778398
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,6,44.90081688557059,872.3261085275129,999.8568115234376,1.1211402909210242,2.885931237337427
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,7,43.93210760251355,672.1543282829537,799.8450927734375,1.0018937196752389,2.855969265547756
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,8,41.24971098705182,520.4622706127763,649.95404052734375,0.8438315244837936,2.801658839182812
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,9,35.39153684376275,375.4719397639316,499.9740905761718,0.6891066546453313,2.7386255246585054
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,10,28.70033003370601,285.15569389535295,399.9783020019531,0.5688033066246394,2.681599870938342
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,11,20.814283838349965,206.9565525084626,299.9508361816406,0.48950222905572166,2.640161006664988
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,12,12.455159518297982,141.12522595208307,199.89089965820312,0.4607129433347324,2.6216290147189723
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,13,8.344873556208995,110.65161874561272,149.97128295898438,0.4692290754857694,2.622871188267774
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,14,4.849869320784234,87.31480804787152,110.01932525634766,0.4935753400115449,2.6314492587951825
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,15,4.113359064475568,81.5535582781815,100.01045989990234,0.5314772859545487,2.640484730511554
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,16,3.1825353243663907,75.91572316351225,90.01024627685547,0.563960004774051,2.6525472597786575
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,17,2.357531668728647,69.51702639215698,80.05330657958984,0.5895023620975727,2.660312145082018
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,18,1.3413732405026575,63.47839824794925,70.032196044921875,0.6135844095360687,2.6667246357033436
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,19,0.355045046744251,57.16380677054275,60.057003021240234,0.6351441575447246,2.6718531435555635
2022-02-03 AL macrocarpus ACi2_ leaf area.xlsx,macrocarpus,2,20,27.080802768595788,299.846032070274,399.9311218261718,0.6440435857150726,2.6734893110356066
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,1,33.493168556534705,285.7912276951821,397.08981323242193,0.7965179214514171,2.0784870397325723
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,2,33.28251977643871,288.9165690300985,400.0132751464844,0.7942617338466386,2.0679752152962028
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,3,39.71189443778636,1363.2945384572818,1550.2481689453125,0.7198155292281551,2.016628259833669
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,4,40.325488713032136,1336.7739277224073,1550.052001953125,0.5693480193269639,1.8987915714090633
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,5,41.00574112547424,1015.2279883070984,1250.0511474609375,0.44600539837510306,1.7857354806624643
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,6,42.997663781503576,730.3714136854337,999.9757080078124,0.3591455248225765,1.6939650721790094
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,7,40.31499957378331,523.2060367481704,799.98193359375,0.30705344865267736,1.6303784829011712
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,8,36.23540533407135,392.3045358305918,649.88006591796875,0.2881176793059876,1.59374978517813
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,9,30.189700625089017,288.9459146732238,499.9459228515625,0.29094862024822243,1.5813477126931683
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,10,25.391333884577456,230.8338421312409,399.900634765625,0.30763958845182787,1.5856641573773596
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,11,19.44385139084852,178.92472155095987,299.8680725097656,0.3357027479865637,1.6043788922783278
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,12,12.471843782186085,127.83128540776154,199.9646148681641,0.3729413549705974,1.631963271558707
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,13,8.655024586091551,103.41806050439536,150.1026611328125,0.4176064594152909,1.6650963300741275
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,14,5.317506093710292,82.37409760944749,110.09795379638672,0.458622384277008,1.692722892123158
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,15,4.486669918365048,77.55785492473875,100.09976959228516,0.49669549722733225,1.71466660423344
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,16,3.65381189128184,72.02100319508854,90.00669860839844,0.5314526305692368,1.7326316505303838
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,17,2.677285860335148,66.60548596200195,79.93475341796875,0.5657107801435943,1.7486167828689068
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,18,1.7338152382489107,60.87374056790503,70.0637435913086,0.5984869591393358,1.7617278113999928
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,19,0.6166091842792593,55.18012861141533,59.947208404541016,0.6310124613650531,1.7753180314701458
2022-02-03 AL macrocarpus ACi3_ leaf area.xlsx,macrocarpus,3,20,28.74397889135661,287.6299416253208,399.8679809570313,0.6479849432412905,1.7769378862447776
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,1,27.48046827715868,292.91730051373713,399.9085693359375,0.6145888858201205,2.241646554113526
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,2,26.94224043180743,288.82944353219557,399.8494567871094,0.5662316018968927,2.251912248232242
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,3,38.128497834009984,1323.7174184285404,1549.6400146484375,0.43478847303606005,2.199632596965239
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,4,37.40412334743858,1248.0786488540127,1550.0826416015625,0.2744557582039664,2.1067639629348123
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,5,35.983383994981594,869.9636967451515,1249.876953125,0.18573160568164115,2.056255550014612
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,6,31.678301849516984,563.893810505579,999.9498291015624,0.13328289178266925,2.03068253404781
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,7,26.876388533784606,378.80748400518195,799.87176513671875,0.11414073141953798,2.03322801994624
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,8,24.447868504910694,299.9493669875763,649.89422607421875,0.12512483457694024,2.059070136803144
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,9,22.657753548998453,252.27819245704575,500.0132751464844,0.16808429760386134,2.1124629264929538
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,10,20.951356924669273,226.8346552360247,399.9933471679687,0.23127889620875045,2.177327610505163
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,11,16.963345180021015,186.82876455904244,299.9822998046875,0.2989170880472325,2.238215523099221
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,12,11.211201382070932,136.69597206318147,199.92665100097656,0.3718815960514748,2.2992813691343907
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,13,7.862514328379456,110.59999663662576,149.95555114746094,0.4416396245095646,2.3488353016277688
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,14,4.6915339808078516,88.1033044292859,110.09947967529295,0.5061907986541062,2.3886347209788945
2022-02-03 AL macrocarpus ACi4_ leaf area.xlsx,macrocarpus,4,15,4.032421316351931,82.34925661203148,100.04560089111328,0.5674508558234863,2.423051026802859
