TleafRounded,Species,Plant,Rd,Cstar
30,astrocarpus,1,-0.931729054,46.36155409
30,astrocarpus,2,-0.959844029,36.3548312
30,cistoides,A,0.6628622,0.062201925
30,cistoides,B,1.070515096,0.773332607
30,cistoides,C,0.199938999,-0.419150753
30,cistoides,D,0.200219499,-0.80625651
30,cristatus,1,-0.424192887,39.25818937
30,cristatus,10,-1.024743657,7.175772135
30,cristatus,2,-0.612339163,26.98204202
30,cristatus,5,-1.998861598,22.76364974
30,cristatus,6,-1.80181461,7.883568608
30,cristatus,7,-1.009564065,6.97764443
30,cristatus,8,-1.330416251,19.2753752
30,forrestii,1,-0.328378413,56.56278233
30,forrestii,2,-1.28563042,39.99292326
30,forrestii,3,-0.77073608,48.33558566
30,hirsutus,2,-0.516947089,53.03844148
30,hirsutus,3,0.287847262,53.88258323
30,macrocarpus,1,-1.931823261,48.83163568
30,macrocarpus,2,-1.508164718,56.439144
30,macrocarpus,3,-2.038976748,44.81748789
30,macrocarpus,4,-2.176497338,48.10884416
30,macropterus,1,0.720187878,0.159199601
30,macropterus,3,1.184344661,0.341305079
30,macropterus,4,0.857954954,1.342138537
30,occidentalis,1,-0.387909292,-1.843619505
30,occidentalis,2,0.019693182,0.054724766
30,occidentalis,3,-0.012061235,0.811367006
30,platypterus,1,-0.977605221,37.63902131
30,platypterus,2,-1.325960967,43.43043843
30,platypterus,3,-0.432987187,49.09578068
30,platypterus,4,-0.682173365,37.16403921
30,platypterus,5,-0.860386221,42.56462552
30,zeyheri,2,0.948547372,-1.36026948
30,zeyheri,3,0.281755053,-0.512577086
30,zeyheri,4,1.15116989,-0.403024499
42,astrocarpus,1,-2.402841102,42.20466347
42,astrocarpus,2,-0.603987985,62.16614676
42,astrocarpus,3,-2.287382814,61.95293416
42,cristatus,1,-1.798956304,13.93715806
42,cristatus,10,-1.471576081,30.81202191
42,cristatus,2,-1.514409291,25.45892316
42,cristatus,5,-1.934842153,6.293783629
42,cristatus,6,-1.696977255,18.01079946
42,cristatus,7,-1.48370266,29.2091533
42,forrestii,1,-1.303537189,68.33673957
42,forrestii,2,-2.065222574,69.44944185
42,forrestii,3,-1.120179912,73.05653349
42,hirsutus,2,-1.076146614,72.02764796
42,hirsutus,3,-0.772105467,72.01915009
42,hirsutus,4,-1.475733754,83.2213565
42,macrocarpus,1,-1.411922502,70.29541668
42,macrocarpus,2,-1.974976566,67.66087215
42,platypterus,2,-1.306845758,74.64798447
42,platypterus,4,-1.020092767,82.53828082
42,platypterus,5,-1.148737797,64.25503357
