Species,Plant,GDCDensityBS,GDCDensityM,GDCPDensityBS,GDCPDensityM,GDCDensityBSCell,GDCDensityMCell,GDCPDensityBSCell,GDCPDensityMCell,GDCDensityBSTissue,GDCDensityMTissue,GDCPDensityBSTissue,GDCPDensityMTissue,PercentGDCinBSTissue,PercentGDCPinBSTissue
astrocarpus,al1,48.46689316,40.23413126,NA,NA,0.163065409,0.084407417,NA,NA,4351.521309,7557.862094,NA,NA,36.5385945,NA
astrocarpus,al2,30.90596607,28.65022506,27.60486283,9.403662089,0.276351525,0.258087148,0.246834088,0.084710132,7374.645279,23109.19059,6586.950586,7584.967272,24.19198591,46.47889334
astrocarpus,al3,35.82277627,22.55166488,NA,NA,0.235225998,0.206215909,NA,NA,6277.180094,18464.62631,NA,NA,25.37074291,NA
astrocarpus,vc1,24.68577877,18.03547208,NA,NA,0.171505597,0.102118416,NA,NA,4576.753973,9143.709629,NA,NA,33.35713796,NA
cistoides,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cistoides,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cistoides,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cristatus,10,60.24434326,10.40969207,NA,NA,0.672680508,0.017499491,NA,NA,20225.21196,3572.789488,NA,NA,84.98701879,NA
cristatus,al1,59.74593598,9.055907094,NA,NA,1.655058996,0.036263408,NA,NA,49761.98747,7403.730879,NA,NA,87.04865242,NA
cristatus,vc1,34.60220305,4.20960904,87.57395926,9.2204204,0.292946121,0.006632097,0.741410933,0.014526461,8807.892182,1354.044244,22291.70177,2965.799686,86.67533246,88.25774714
forrestii,2,36.02641433,54.80851793,NA,NA,0.38464391,0.378053375,NA,NA,8214.172987,35115.80564,NA,NA,18.95725142,NA
forrestii,4,32.08349459,58.17877923,20.40345513,19.80771777,0.159042328,0.357122051,0.101142754,0.121586821,3396.391208,33171.58202,2159.93041,11293.69408,9.287884749,16.05463577
forrestii,6,43.66888275,42.77635515,NA,NA,0.266034966,0.26087819,NA,NA,5681.247436,24231.89006,NA,NA,18.99248261,NA
hirsutus,al2,41.7132152,64.10717926,NA,NA,0.170058933,0.366675159,NA,NA,6789.575027,76676.93852,NA,NA,8.134489796,NA
hirsutus,vc1,27.9111348,58.37967069,NA,NA,0.144308554,1.006119332,NA,NA,5761.495357,210393.7186,NA,NA,2.665443618,NA
hirsutus,vc2,28.366318,22.95250398,NA,NA,0.186371687,0.313437831,NA,NA,7440.859046,65544.26381,NA,NA,10.19503531,NA
hirsutus,vc3,18.47236045,33.94037117,NA,NA,0.077316289,0.293735087,NA,NA,3086.840159,61424.14243,NA,NA,4.784983945,NA
macrocarpus,1,35.67841011,79.309033,NA,NA,0.138537124,0.317202499,NA,NA,3643.707738,42714.08678,NA,NA,7.859967835,NA
macrocarpus,2,41.24640359,81.99763901,NA,NA,0.061449917,0.205863282,NA,NA,1616.21328,27721.28876,NA,NA,5.509035082,NA
macrocarpus,5,41.25359941,69.85361221,NA,NA,0.123542561,0.416865057,NA,NA,3249.331097,56134.52056,NA,NA,5.471741906,NA
macropterus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
macropterus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
macropterus,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
occidentalis,1,29.99329982,8.393359829,NA,NA,0.177879362,0.039992781,NA,NA,6347.230298,2578.720413,NA,NA,71.10985153,NA
occidentalis,2,62.50760345,10.36113604,12.29885482,2.836047337,0.589066723,0.02476454,0.115903437,0.006778543,21019.53882,1596.808771,4135.756966,437.0780623,92.93958158,90.44185807
occidentalis,3,31.01746774,4.998813845,NA,NA,0.322153863,0.016744909,NA,NA,11495.34573,1079.705834,NA,NA,91.41390531,NA
platypterus,4,56.2604618,92.15971621,NA,NA,0.252903232,0.788695498,NA,NA,5720.296549,98215.22138,NA,NA,5.503697545,NA
platypterus,5,29.27622925,25.73093759,NA,NA,0.187529979,0.138445507,NA,NA,4241.650388,17240.43834,NA,NA,19.74505572,NA
platypterus,6,55.23231123,71.69379958,NA,NA,0.586045601,0.459838855,NA,NA,13255.48357,57263.13273,NA,NA,18.79714077,NA
