FileID,Species,Plant,LeafArea,Enzyme,RatePerLeafArea,Chl_umol_per_m2,RatePerChl
4,macropterus,1,3.355,AlaAT,344.5164957,539.0195884,639.1539437
4,macropterus,1,3.355,AspAT,93.15214494,539.0195884,172.817736
4,macropterus,1,3.355,NAD-ME,2.633955225,539.0195884,4.886566799
4,macropterus,1,3.355,NADP-ME,89.39442146,539.0195884,165.8463317
4,macropterus,1,3.355,PEPC,358.3928988,539.0195884,664.8977263
5,macropterus,2,2.927,AlaAT,303.8827978,373.905893,812.7253501
5,macropterus,2,2.927,AspAT,75.94228498,373.905893,203.1053439
5,macropterus,2,2.927,NAD-ME,1.111463697,373.905893,2.972576036
5,macropterus,2,2.927,NADP-ME,90.58102376,373.905893,242.256208
5,macropterus,2,2.927,PEPC,313.4432896,373.905893,838.2945963
3,macropterus,5,2.459,AlaAT,304.8207192,482.3079262,632.0043744
3,macropterus,5,2.459,AspAT,81.75822573,482.3079262,169.5145804
3,macropterus,5,2.459,NAD-ME,2.363677895,482.3079262,4.900765188
3,macropterus,5,2.459,NADP-ME,94.59914249,482.3079262,196.1384778
3,macropterus,5,2.459,PEPC,234.7395966,482.3079262,486.700682
8,cristatus,1,4.58,AlaAT,72.03393031,450.6449729,159.8462973
8,cristatus,1,4.58,AspAT,49.46024509,450.6449729,109.7543478
8,cristatus,1,4.58,NAD-ME,1.742278512,450.6449729,3.866188722
8,cristatus,1,4.58,NADP-ME,0.083815144,450.6449729,0.185989303
8,cristatus,1,4.58,PEPC,14.63674764,450.6449729,32.47955379
6,cristatus,2,4.668,AlaAT,66.78425907,454.5214014,146.9331452
6,cristatus,2,4.668,AspAT,54.50997841,454.5214014,119.9282987
6,cristatus,2,4.668,NAD-ME,0.665875731,454.5214014,1.465004132
6,cristatus,2,4.668,NADP-ME,0.849673286,454.5214014,1.869380152
6,cristatus,2,4.668,PEPC,18.74833284,454.5214014,41.24851499
7,cristatus,6,3.286,AlaAT,127.0676155,746.2837515,170.2671608
7,cristatus,6,3.286,AspAT,95.99139582,746.2837515,128.6258687
7,cristatus,6,3.286,NAD-ME,2.587229215,746.2837515,3.466817024
7,cristatus,6,3.286,NADP-ME,0.335129856,746.2837515,0.449064923
7,cristatus,6,3.286,PEPC,31.57672656,746.2837515,42.31195775
10,forrestii,1,1.906,AlaAT,73.14606115,933.5916867,78.34909221
10,forrestii,1,1.906,AspAT,38.39936435,933.5916867,41.13079079
10,forrestii,1,1.906,NAD-ME,2.142829685,933.5916867,2.295253606
10,forrestii,1,1.906,NADP-ME,2.888966685,933.5916867,3.094464878
10,forrestii,1,1.906,PEPC,16.63891469,933.5916867,17.82247521
11,forrestii,2,2.124,AlaAT,81.07127588,856.3056362,94.67563035
11,forrestii,2,2.124,AspAT,50.28038736,856.3056362,58.71780499
11,forrestii,2,2.124,NAD-ME,4.634626521,856.3056362,5.41235083
11,forrestii,2,2.124,NADP-ME,1.957077153,856.3056362,2.285489048
11,forrestii,2,2.124,PEPC,13.51389853,856.3056362,15.78162979
9,forrestii,3,2.048,AlaAT,28.90712104,789.0445126,36.6356024
9,forrestii,3,2.048,AspAT,31.11921733,789.0445126,39.43911507
9,forrestii,3,2.048,NAD-ME,2.791846375,789.0445126,3.538262203
9,forrestii,3,2.048,NADP-ME,0.393400535,789.0445126,0.49857838
9,forrestii,3,2.048,PEPC,1.549907505,789.0445126,1.964283992
14,cistoides,B,2.131,AlaAT,185.3903893,453.0704114,409.1867061
14,cistoides,B,2.131,AspAT,75.99843633,453.0704114,167.7408951
14,cistoides,B,2.131,NAD-ME,0.928979491,453.0704114,2.050408651
14,cistoides,B,2.131,NADP-ME,109.1748687,453.0704114,240.966671
14,cistoides,B,2.131,PEPC,450.9977537,453.0704114,995.4253078
