Species,CellType,Position,Plant,AreaCell,AreaChloro,AreaMito,nChloro,nMito,AreaChloroTotal,AreaMitoTotal,AreaChloroPercent,AreaMitoPercent,AreaPerMito,AreaPerChloro
astrocarpus,BS,inner,al1,844.92594,14.50482,2.54616,6.2,10,28.6073,2.842728,50.70321212,89.56748588,0.245062759,2.234945313
astrocarpus,BS,inner,al2,548.32596,23.61562,4.00448,8.8,12.2,39.0321,4.90296,60.50307311,81.67474342,0.326864,2.7105625
astrocarpus,BS,inner,al3,514.44776,14.88778,2.98566,5.6,8,33.174,3.37806,44.87785615,88.3838653,0.331182353,2.719180328
astrocarpus,BS,inner,vc1,1172.50312,22.57386,6.4598,8,18.2,45.2331,8.14602,49.90562221,79.30007537,0.3394175,2.899557692
astrocarpus,BS,outer,al1,844.92594,14.10248,0.296568,6.6,1.6,28.6073,2.842728,49.29678788,10.43251412,0.245062759,2.234945313
astrocarpus,BS,outer,al2,548.32596,15.41648,0.89848,5.6,2.8,39.0321,4.90296,39.49692689,18.32525658,0.326864,2.7105625
astrocarpus,BS,outer,al3,514.44776,18.28622,0.3924,6.6,2.2,33.174,3.37806,55.12214385,11.6161347,0.331182353,2.719180328
astrocarpus,BS,outer,vc1,1172.50312,22.65924,1.68622,7.6,5.8,45.2331,8.14602,50.09437779,20.69992463,0.3394175,2.899557692
astrocarpus,M,M,al1,868.794975,69.96455,1.82265,35.25,11.25,69.96455,1.82265,100,100,0.162013333,1.984809929
astrocarpus,M,M,al2,406.46714,94.16398,3.66154,24.2,13.4,94.16398,3.66154,100,100,0.273249254,3.891073554
astrocarpus,M,M,al3,210.1758,48.53722,1.92188,18.8,4.4,48.53722,1.92188,100,100,0.436790909,2.581767021
astrocarpus,M,M,vc1,856.097725,104.877525,4.8473,29.5,15,104.877525,4.8473,100,100,0.323153333,3.555170339
cistoides,BS,inner,1,863.436,211.05538,6.85604,18.4,13.4,222.78524,7.37102,94.73490255,93.01344997,0.504864384,11.48377526
cistoides,BS,inner,2,390.46644,124.5603,5.77072,15.2,12.4,151.1067,7.43264,82.43201658,77.64024627,0.482638961,8.489140449
cistoides,BS,inner,E,730.65602,186.00218,5.03138,19.2,11.2,202.99482,5.76306,91.62902778,87.30396699,0.472381967,9.950726471
cistoides,BS,outer,1,863.436,11.72986,0.51498,1,1.2,222.78524,7.37102,5.265097454,6.98655003,0.504864384,11.48377526
cistoides,BS,outer,2,390.46644,26.5464,1.66192,2.6,3,151.1067,7.43264,17.56798342,22.35975373,0.482638961,8.489140449
cistoides,BS,outer,E,730.65602,16.99264,0.73168,1.2,1,202.99482,5.76306,8.370972225,12.69603301,0.472381967,9.950726471
cistoides,M,M,1,981.50934,59.19256,2.95608,12.4,9.6,59.19256,2.95608,100,100,0.307925,4.773593548
cistoides,M,M,2,559.88372,52.70708,1.73982,13.6,5.2,52.70708,1.73982,100,100,0.334580769,3.875520588
cistoides,M,M,E,1135.97648,80.74736,3.72804,15,10.8,80.74736,3.72804,100,100,0.345188889,5.383157333
cristatus,BS,inner,10,411.74915,17.645125,3.9137,9.2,8.2,25.647425,4.5975375,68.79881704,85.12600495,0.489099734,1.80615669
cristatus,BS,inner,al1,297.713675,19.7936,6.649225,9,21.25,33.020475,8.24715,59.9434139,80.62451877,0.311213208,2.165277049
cristatus,BS,inner,vc1,1277.4282,28.503275,10.533825,10.75,17.4,40.536125,10.81485,70.31573689,97.40148962,0.551778061,2.533507813
cristatus,BS,outer,10,411.74915,8.0023,0.6838375,5,1.2,25.647425,4.5975375,31.20118296,14.87399505,0.489099734,1.80615669
cristatus,BS,outer,al1,297.713675,13.226875,1.597925,6.25,5.25,33.020475,8.24715,40.0565861,19.37548123,0.311213208,2.165277049
