Species,Plant,PercentMitoinBSTissue,PercentChloroinBSTissue
astrocarpus,al1,32.33917252,11.1349754
astrocarpus,al2,22.82937951,8.389390897
astrocarpus,al3,17.62866883,7.682610252
astrocarpus,vc1,26.77706424,8.579965722
cistoides,1,45.34502263,55.60090764
cistoides,2,64.196037,54.61234638
cistoides,E,41.29671844,53.35884991
cristatus,10,49.44782008,11.1888485
cristatus,al1,50.46457247,15.37139084
cristatus,vc1,44.17666495,6.349653932
forrestii,2,26.24647611,13.21088798
forrestii,4,15.65927927,10.35322229
forrestii,6,18.67680357,10.595738
hirsutus,al2,11.97843099,5.424527681
hirsutus,vc1,5.417481858,3.172249611
hirsutus,vc2,8.412972263,5.828227889
hirsutus,vc3,8.453044209,2.1829066
macrocarpus,1,15.9397112,5.327763793
macrocarpus,2,10.38660135,7.80793281
macrocarpus,5,8.926533483,4.518071677
macropterus,1,30.56274932,41.12255184
macropterus,2,42.81518829,27.82839161
macropterus,5,58.41891942,47.93272945
occidentalis,1,40.78627114,44.54729
occidentalis,2,68.5727309,61.89222557
occidentalis,3,63.17900244,60.32907013
platypterus,4,8.709682024,4.037227377
platypterus,5,17.77908289,6.560265935
platypterus,6,23.10504014,3.699403895
