Species,Plant,Cell,Width,Length,LWRatio
astrocarpus,1,1,31.3174946,34.23326134,1.093103448
astrocarpus,1,2,36.28509719,28.07775378,0.773809524
astrocarpus,1,3,32.28941685,29.48164147,0.913043478
astrocarpus,1,4,36.93304536,31.3174946,0.847953216
astrocarpus,1,5,29.91360691,32.07343413,1.072202166
astrocarpus,1,6,37.68898488,39.8488121,1.05730659
astrocarpus,1,7,36.06911447,24.62203024,0.682634731
astrocarpus,1,8,37.9049676,25.48596112,0.672364672
astrocarpus,1,9,44.38444924,29.91360691,0.673965937
astrocarpus,1,10,36.39308855,24.40604752,0.670623145
astrocarpus,2,1,28.40172786,18.6825054,0.657794677
astrocarpus,2,2,28.18574514,19.97840173,0.708812261
astrocarpus,2,3,26.67386609,22.46220302,0.842105263
astrocarpus,2,4,32.50539957,29.48164147,0.906976744
astrocarpus,2,5,28.2937365,27.32181425,0.965648855
astrocarpus,2,6,27.42980562,20.73434125,0.755905512
astrocarpus,2,7,30.56155508,19.87041037,0.650176678
astrocarpus,2,8,23.00215983,18.35853132,0.798122066
astrocarpus,2,9,29.69762419,23.97408207,0.807272727
astrocarpus,2,10,32.50539957,24.51403888,0.754152824
astrocarpus,3,1,28.8336933,18.6825054,0.647940075
astrocarpus,3,2,20.41036717,19.11447084,0.936507937
astrocarpus,3,3,23.97408207,24.40604752,1.018018018
astrocarpus,3,4,27.42980562,22.2462203,0.811023622
astrocarpus,3,5,26.99784017,21.59827214,0.8
astrocarpus,3,6,26.99784017,26.02591793,0.964
astrocarpus,3,7,26.13390929,25.2699784,0.966942149
astrocarpus,3,8,24.40604752,18.57451404,0.761061947
astrocarpus,3,9,27.86177106,23.32613391,0.837209302
astrocarpus,3,10,28.94168467,22.89416847,0.791044776
cistoides,1,1,34.55723542,25.59395248,0.740625
cistoides,1,2,35.20518359,21.59827214,0.613496933
cistoides,1,3,39.41684665,20.84233261,0.528767123
cistoides,1,4,35.74514039,30.56155508,0.854984894
cistoides,1,5,35.42116631,20.30237581,0.573170732
cistoides,1,6,47.94816415,24.62203024,0.513513514
cistoides,1,7,41.14470842,19.33045356,0.469816273
cistoides,1,8,34.12526998,25.16198704,0.737341772
cistoides,1,9,32.07343413,19.54643629,0.609427609
cistoides,1,10,36.50107991,22.35421166,0.612426036
cistoides,2,1,34.98920086,26.24190065,0.75
cistoides,2,2,42.33261339,23.75809935,0.56122449
cistoides,2,3,34.44924406,23.00215983,0.667711599
cistoides,2,4,35.09719222,21.92224622,0.624615385
cistoides,2,5,34.66522678,28.94168467,0.834890966
cistoides,2,6,33.47732181,18.57451404,0.55483871
cistoides,2,7,31.96544276,27.10583153,0.847972973
cistoides,2,8,29.04967603,21.59827214,0.743494424
cistoides,2,9,46.76025918,23.21814255,0.496535797
cistoides,2,10,33.26133909,17.49460043,0.525974026
cistoides,E,1,30.12958963,29.26565875,0.971326165
cistoides,E,2,28.40172786,30.56155508,1.076045627
cistoides,E,3,40.49676026,19.97840173,0.493333333
cistoides,E,4,33.90928726,29.26565875,0.863057325
cistoides,E,5,38.66090713,24.94600432,0.645251397
cistoides,E,6,34.8812095,24.83801296,0.712074303
cistoides,E,7,38.66090713,22.2462203,0.575418994
cistoides,E,8,38.55291577,18.6825054,0.484593838
cistoides,E,9,35.74514039,22.89416847,0.640483384
cistoides,E,10,42.22462203,29.37365011,0.695652174
cristatus,1,1,30.23758099,21.49028078,0.710714286
cristatus,1,2,27.53779698,14.47084233,0.525490196
cristatus,1,3,38.12095032,20.30237581,0.532577904
cristatus,1,4,26.78185745,22.67818575,0.846774194
cristatus,1,5,22.78617711,21.05831533,0.924170616
cristatus,1,6,27.7537797,23.65010799,0.852140078
cristatus,1,7,23.43412527,25.48596112,1.087557604
cristatus,1,8,27.64578834,16.30669546,0.58984375
cristatus,1,9,22.67818575,17.49460043,0.771428571
cristatus,1,10,27.53779698,16.95464363,0.615686275
cristatus,2,1,25.16198704,21.05831533,0.836909871
cristatus,2,2,30.99352052,25.91792657,0.836236934
cristatus,2,3,21.1663067,24.08207343,1.137755102
cristatus,2,4,17.60259179,19.65442765,1.116564417
cristatus,2,5,18.46652268,17.60259179,0.953216374
cristatus,2,6,29.80561555,25.59395248,0.858695652
cristatus,2,7,22.78617711,17.92656587,0.786729858
cristatus,2,8,22.35421166,16.63066955,0.743961353
cristatus,2,9,31.8574514,35.52915767,1.115254237
cristatus,2,10,24.51403888,20.95032397,0.854625551
cristatus,10,1,24.40604752,24.08207343,0.986725664
cristatus,10,2,30.12958963,18.89848812,0.627240143
cristatus,10,3,23.75809935,20.19438445,0.85
cristatus,10,4,33.47732181,25.80993521,0.770967742
cristatus,10,5,23.32613391,15.44276458,0.662037037
cristatus,10,6,29.58963283,18.25053996,0.616788321
cristatus,10,7,22.35421166,25.91792657,1.15942029
cristatus,10,8,21.59827214,19.97840173,0.925
cristatus,10,9,20.08639309,15.44276458,0.768817204
cristatus,10,10,27.96976242,18.35853132,0.656370656
forrestii,3,1,23.54211663,24.40604752,1.036697248
forrestii,3,2,23.65010799,19.54643629,0.826484018
forrestii,3,3,26.45788337,18.57451404,0.702040816
forrestii,3,4,24.29805616,20.51835853,0.844444444
forrestii,3,5,19.76241901,24.62203024,1.245901639
forrestii,3,6,24.19006479,23.11015119,0.955357143
forrestii,3,7,26.99784017,17.92656587,0.664
forrestii,3,8,29.15766739,24.7300216,0.848148148
forrestii,3,9,24.94600432,24.7300216,0.991341991
forrestii,3,10,21.49028078,21.49028078,1
forrestii,4,1,22.2462203,32.28941685,1.451456311
forrestii,4,2,13.39092873,39.20086393,2.927419355
forrestii,4,3,17.06263499,19.76241901,1.158227848
forrestii,4,4,20.08639309,22.13822894,1.102150538
forrestii,4,5,21.7062635,22.78617711,1.049751244
forrestii,4,6,15.76673866,25.05399568,1.589041096
forrestii,4,7,26.45788337,22.13822894,0.836734694
forrestii,4,8,21.05831533,23.65010799,1.123076923
forrestii,4,9,23.11015119,17.81857451,0.771028037
forrestii,4,10,24.29805616,23.21814255,0.955555556
forrestii,5,1,27.86177106,42.44060475,1.523255814
forrestii,5,2,22.89416847,39.41684665,1.721698113
forrestii,5,3,26.56587473,19.54643629,0.735772358
forrestii,5,4,29.26565875,23.00215983,0.78597786
forrestii,5,5,22.35421166,28.50971922,1.275362319
forrestii,5,6,24.7300216,35.96112311,1.454148472
forrestii,5,7,30.7775378,38.87688985,1.263157895
forrestii,5,8,30.45356371,43.19654428,1.418439716
forrestii,5,9,24.29805616,40.28077754,1.657777778
forrestii,5,10,30.56155508,36.825054,1.204946996
hirsutus,2,1,39.09287257,33.90928726,0.867403315
hirsutus,2,2,25.59395248,45.68034557,1.784810127
hirsutus,2,3,31.3174946,37.47300216,1.196551724
hirsutus,2,4,31.53347732,34.77321814,1.102739726
hirsutus,2,5,39.52483801,51.94384449,1.31420765
hirsutus,2,6,32.93736501,29.04967603,0.881967213
hirsutus,2,7,31.3174946,32.72138229,1.044827586
hirsutus,2,8,30.12958963,31.3174946,1.039426523
hirsutus,2,9,32.18142549,22.35421166,0.694630872
hirsutus,2,10,30.66954644,36.93304536,1.204225352
hirsutus,3,1,22.67818575,29.37365011,1.295238095
hirsutus,3,2,22.78617711,38.22894168,1.677725118
hirsutus,3,3,29.26565875,41.90064795,1.431734317
hirsutus,3,4,39.63282937,37.3650108,0.942779292
hirsutus,3,5,33.47732181,45.78833693,1.367741935
hirsutus,3,6,49.4600432,34.8812095,0.705240175
hirsutus,3,7,45.78833693,38.66090713,0.844339623
hirsutus,3,8,41.90064795,40.9287257,0.976804124
hirsutus,3,9,28.72570194,36.50107991,1.270676692
hirsutus,3,10,30.66954644,25.80993521,0.841549296
hirsutus,vc3,1,31.53347732,48.70410367,1.544520548
hirsutus,vc3,2,24.40604752,38.33693305,1.57079646
hirsutus,vc3,3,24.83801296,40.06479482,1.613043478
hirsutus,vc3,4,26.88984881,38.22894168,1.421686747
hirsutus,vc3,5,29.48164147,30.34557235,1.029304029
hirsutus,vc3,6,33.47732181,34.44924406,1.029032258
hirsutus,vc3,7,22.89416847,41.79265659,1.825471698
hirsutus,vc3,8,28.2937365,37.58099352,1.328244275
hirsutus,vc3,9,24.94600432,39.20086393,1.571428571
hirsutus,vc3,10,31.8574514,41.03671706,1.288135593
macrocarpus,1,1,30.56155508,30.45356371,0.996466431
macrocarpus,1,2,25.80993521,31.20950324,1.209205021
macrocarpus,1,3,33.47732181,30.7775378,0.919354839
macrocarpus,1,4,25.80993521,30.88552916,1.19665272
macrocarpus,1,5,31.64146868,37.58099352,1.187713311
macrocarpus,1,6,24.83801296,46.22030238,1.860869565
macrocarpus,1,7,30.99352052,32.39740821,1.045296167
macrocarpus,1,8,26.67386609,32.18142549,1.206477733
macrocarpus,1,9,28.94168467,29.58963283,1.02238806
macrocarpus,1,10,21.92224622,44.16846652,2.014778325
macrocarpus,2,1,37.04103672,34.12526998,0.921282799
macrocarpus,2,2,20.84233261,27.53779698,1.321243523
macrocarpus,2,3,20.41036717,18.46652268,0.904761905
macrocarpus,2,4,26.99784017,28.8336933,1.068
macrocarpus,2,5,26.78185745,34.66522678,1.294354839
macrocarpus,2,6,29.26565875,25.70194384,0.878228782
macrocarpus,2,7,27.64578834,33.15334773,1.19921875
macrocarpus,2,8,23.11015119,32.18142549,1.392523364
macrocarpus,2,9,26.78185745,26.34989201,0.983870968
macrocarpus,2,10,21.59827214,35.52915767,1.645
macrocarpus,5,1,26.02591793,24.7300216,0.950207469
macrocarpus,5,2,23.21814255,19.87041037,0.855813953
macrocarpus,5,3,22.89416847,19.87041037,0.867924528
macrocarpus,5,4,30.34557235,21.81425486,0.71886121
macrocarpus,5,5,20.95032397,25.91792657,1.237113402
macrocarpus,5,6,22.89416847,31.64146868,1.382075472
macrocarpus,5,7,26.56587473,24.94600432,0.93902439
macrocarpus,5,8,24.62203024,30.56155508,1.24122807
macrocarpus,5,9,21.59827214,26.45788337,1.225
macrocarpus,5,10,25.37796976,24.7300216,0.974468085
macropterus,1,1,29.80561555,36.28509719,1.217391304
macropterus,1,2,30.12958963,28.72570194,0.953405018
macropterus,1,3,32.72138229,37.79697624,1.155115512
macropterus,1,4,33.04535637,26.45788337,0.800653595
macropterus,1,5,24.08207343,30.34557235,1.260089686
macropterus,1,6,31.64146868,32.82937365,1.037542662
macropterus,1,7,26.88984881,23.75809935,0.883534137
macropterus,1,8,30.56155508,33.58531317,1.098939929
macropterus,1,9,33.04535637,25.59395248,0.774509804
macropterus,1,10,32.82937365,26.34989201,0.802631579
macropterus,2,1,27.42980562,19.54643629,0.712598425
macropterus,2,2,24.62203024,14.57883369,0.592105263
macropterus,2,3,25.59395248,23.86609071,0.932489451
macropterus,2,4,26.78185745,32.07343413,1.197580645
macropterus,2,5,24.29805616,25.70194384,1.057777778
macropterus,2,6,28.18574514,21.38228942,0.75862069
macropterus,2,7,27.96976242,23.97408207,0.857142857
macropterus,2,8,24.29805616,22.46220302,0.924444444
macropterus,2,9,28.8336933,21.27429806,0.737827715
macropterus,2,10,26.56587473,27.64578834,1.040650407
macropterus,5,1,30.12958963,18.03455724,0.598566308
macropterus,5,2,33.8012959,19.65442765,0.581469649
macropterus,5,3,29.91360691,22.67818575,0.758122744
macropterus,5,4,52.15982721,29.37365011,0.563146998
macropterus,5,5,37.04103672,22.57019438,0.609329446
macropterus,5,6,35.31317495,27.64578834,0.782874618
macropterus,5,7,34.23326134,23.86609071,0.697160883
macropterus,5,8,29.91360691,21.81425486,0.729241877
macropterus,5,9,28.2937365,12.95896328,0.458015267
macropterus,5,10,25.37796976,18.03455724,0.710638298
occidentalis,1,1,29.58963283,15.22678186,0.51459854
occidentalis,1,2,31.3174946,18.03455724,0.575862069
occidentalis,1,3,32.93736501,21.1663067,0.642622951
occidentalis,1,4,29.37365011,23.65010799,0.805147059
occidentalis,1,5,30.23758099,17.49460043,0.578571429
occidentalis,1,6,38.66090713,23.21814255,0.600558659
occidentalis,1,7,29.48164147,17.49460043,0.593406593
occidentalis,1,8,28.8336933,21.81425486,0.756554307
occidentalis,1,9,27.10583153,20.95032397,0.772908367
occidentalis,1,10,28.18574514,19.2224622,0.681992337
occidentalis,2,1,31.64146868,22.78617711,0.720136519
occidentalis,2,2,29.69762419,23.21814255,0.781818182
occidentalis,2,3,39.30885529,24.7300216,0.629120879
occidentalis,2,4,36.60907127,25.37796976,0.693215339
occidentalis,2,5,34.77321814,18.25053996,0.52484472
occidentalis,2,6,35.20518359,19.65442765,0.558282209
occidentalis,2,7,34.66522678,24.62203024,0.710280374
occidentalis,2,8,35.20518359,25.91792657,0.736196319
occidentalis,2,9,33.58531317,21.38228942,0.636655949
occidentalis,2,10,36.60907127,25.48596112,0.696165192
occidentalis,3,1,31.53347732,24.19006479,0.767123288
occidentalis,3,2,30.66954644,23.21814255,0.757042254
occidentalis,3,3,36.71706263,19.65442765,0.535294118
occidentalis,3,4,29.15766739,19.97840173,0.685185185
occidentalis,3,5,34.23326134,14.57883369,0.425867508
occidentalis,3,6,30.7775378,18.89848812,0.614035088
occidentalis,3,7,26.24190065,36.60907127,1.395061728
occidentalis,3,8,31.10151188,25.91792657,0.833333333
occidentalis,3,9,26.99784017,25.70194384,0.952
occidentalis,3,10,33.26133909,27.10583153,0.814935065
platypterus,4,1,29.26565875,41.36069114,1.413284133
platypterus,4,2,33.8012959,36.93304536,1.092651757
platypterus,4,3,43.412527,33.47732181,0.771144279
platypterus,4,4,37.9049676,36.17710583,0.954415954
platypterus,4,5,21.7062635,29.15766739,1.343283582
platypterus,4,6,31.74946004,38.76889849,1.221088435
platypterus,4,7,25.48596112,37.68898488,1.478813559
platypterus,4,8,28.2937365,36.06911447,1.27480916
platypterus,4,9,34.8812095,39.30885529,1.126934985
platypterus,4,10,40.9287257,30.23758099,0.73878628
platypterus,5,1,21.92224622,22.03023758,1.004926108
platypterus,5,2,26.99784017,23.11015119,0.856
platypterus,5,3,25.16198704,20.41036717,0.811158798
platypterus,5,4,19.33045356,17.60259179,0.910614525
platypterus,5,5,33.04535637,17.38660907,0.526143791
platypterus,5,6,22.2462203,29.04967603,1.305825243
platypterus,5,7,37.14902808,18.46652268,0.497093023
platypterus,5,8,23.32613391,26.02591793,1.115740741
platypterus,5,9,22.89416847,28.8336933,1.259433962
platypterus,5,10,25.48596112,23.86609071,0.936440678
platypterus,6,1,22.57019438,41.03671706,1.818181818
platypterus,6,2,29.26565875,37.47300216,1.280442804
platypterus,6,3,26.88984881,46.00431965,1.710843373
platypterus,6,4,25.80993521,30.34557235,1.175732218
platypterus,6,5,35.09719222,19.87041037,0.566153846
platypterus,6,6,35.52915767,18.35853132,0.516717325
platypterus,6,7,40.49676026,24.83801296,0.613333333
platypterus,6,8,36.60907127,26.02591793,0.710914454
platypterus,6,9,22.89416847,28.18574514,1.231132075
platypterus,6,10,26.99784017,28.61771058,1.06
